//Le 19/08/10;modifié 853;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//AgriAtelierMargeFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
AgriAtelierMargeFrm;L_Charge;Charges;Expenses;Costos;Uitgaven;Encargos????
AgriAtelierMargeFrm;L_Detail;Détail;Detail;Detalle;Detail;Detalhe
AgriAtelierMargeFrm;L_Marge;Marge;Margin;Margen;Marge;Margem
AgriAtelierMargeFrm;L_Produit;Produits;Products;Productos;Producten;Produtos
AgriAtelierMargeFrm;L_Synthese;Synthèse;Synthesis;Resumen;Synthese;Sintese
AgriAtelierMargeFrm;L_TotCharge;Total Charges;Total Expenses;Total costos;Totale uitgaven;Encragos totais
AgriAtelierMargeFrm;L_TotProd;Total Produits;Total Products;Total productos;Totaal producten;Produtos totais
//;;;;;;
//;;;;;;
//;;;;;;
//AgriDefSimFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
AgriDefSimFrm;L_Aucun;Aucun;None;Ninguno;Geen;Nenhum
AgriDefSimFrm;L_ErrM;ERREUR;ERROR;ERROR;FOUT;ERRO
AgriDefSimFrm;L_ErrScen;Aucun scénario;No scenario;Ningun escenario;Geen scenario;Nenhum cenario
AgriDefSimFrm;L_ErrTend;Aucune tendance;No tendancy;Ninguna tendencia;Geen tendens;Nenhuma tendencia
AgriDefSimFrm;L_LimDate;Doit être compris entre 1950 et 2050;Must fall between 1950 and 2050;Debe estar comprendido entre 1950 y 2050;Moet tussen 1950 en 2050 liggen;Deve estar entre 1950 e 2050
AgriDefSimFrm;L_LimDateM;Annee erronée;Year not valid;Año no valido;Geen geldig jaar;Ano invalido
AgriDefSimFrm;L_Res1;Je vais calculer les résultats pour  ;I will compute the results for;Voy a calcular los resultados para;Ik zal de resultaten berekenen;Eu calcularei os resultados para
AgriDefSimFrm;L_Res2;  Ans + tard;  Years  later;Años mas tarde;  Jaren   Later;Anos mais tarde
AgriDefSimFrm;L_Scenario;Scenario;Scenario;Escenario;Scenario;Cenario
AgriDefSimFrm;L_Tendance;Tendance;Tendancy;Tendencia;Tendens;Tendencia
AgriDefSimFrm;L_SimSur;SIMULATION SUR;Simulation on;simulación sobre;simulatie op ;simulacion
AgriDefSimFrm;L_CestSur;C'est bien sûr ?;Are you sure?;Estas seguro?;bent u zeker?;é você certo?
AgriDefSimFrm;L_An;Ans;years;Años;Jaren;Anos
//;;;;;;
//;;;;;;
//;;;;;;
//AgriSaisieFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
AgriSaisieFrm;L_Achat;Achat;Buy;Compra;Aankoop;Compra
AgriSaisieFrm;L_Amor;Amortissement;Depreciation;Amortización;Afschrijving;amortizacao   
AgriSaisieFrm;L_Animaux;Animaux;Animals;Animales;Dieren;Animais
AgriSaisieFrm;L_Assol;Assolement;Cropping plan;Distribución de cultivos;Bouwplan;Divisao de cultivo
AgriSaisieFrm;L_Att;ATTENTION;ATTENTION;¡ATENCIÓN!;ATTENTIE;ATENÇÃO!
AgriSaisieFrm;L_Cat;Catégorie;Category;Categoria;Categorie;Categoria
AgriSaisieFrm;L_Charge;Charges;Expenses;Costos;Uitgaven;Encargos
AgriSaisieFrm;L_ChOpe;Charges Opérationnelles;Operational Expenses;Costos operacionales;Variabele kosten;Encargos operacionais
AgriSaisieFrm;L_ChStruct;Charges de Structure;Fixed assets;Costos fijos;Vaste kosten;Encargos estruturais
AgriSaisieFrm;L_Creance;Créances;Credits;Creditos;Vorderingen;Creditos
AgriSaisieFrm;L_CT;Court Terme;Short Term;Corto plazo;Korte termijn;Curto prazo
AgriSaisieFrm;L_Culture;Cultures;Crops;Cultivos;Gewassen;Culturas
AgriSaisieFrm;L_DepDiv;Dépenses Diverses;Misc Expenses;Gastos varios;Diverse uitgaven;Dispesas diversas
AgriSaisieFrm;L_DepPriv;Dépenses Privées;Private Expenses;Gastos privados;Privé uitgaven;Despesas privadas
AgriSaisieFrm;L_DetteCT;Dette CT;ST Debts;Deuda CP;Schuld KT;Divida CP
AgriSaisieFrm;L_DetteLT;Dette LT;LT Debts;Deuda LP;Schuld LT;Divida LP
AgriSaisieFrm;L_Dettes;Dettes;Debts;Deudas;Schulden;Debitos
AgriSaisieFrm;L_Dico;Dico;Diction;Diccionario;Woordenlijst;Diccion
AgriSaisieFrm;L_DonNonModif;Données NON Modifiables;Data CANNOT be Modified;Datos no modificables;Gegevens KUNNEN NIET worden aangepast;Dados nao modificaveis
AgriSaisieFrm;L_DonPasse;Données du Passé nécessaires;Data from the Past required;Datos del Pasado necesarios;Vereiste gegevens uit verleden;Dados passados sao necessario
AgriSaisieFrm;L_Dur1;Durée 1;Duration 1;Duración 1;Duur 1;Duracao 1
AgriSaisieFrm;L_Dur2;Durée 2;Duration 2;Duración 2;Duur 2;Duracao 2
AgriSaisieFrm;L_EMP;EMPRUNTS;Loans;PRESTAMOS;LENINGEN;EMPRESTIMOS
AgriSaisieFrm;L_EmpCT;Court Terme;Short Term;Corto plazo;Korte termijn;Curto prazo
