30-3-2007 17:12;;;;

Landbouwer;gerrit;;;



Delta;Prijs;Product;Tendens;Bedrijf 1 Ronde 1
Delta;Prijs;Uitgaven;Tendens;Bedrijf 1 Ronde 1
Delta;Hoeveelheid;Product;Tendens;bedrijf 1 ronde 1
Delta;Hoeveelheid;Uitgaven;Tendens;bedrijf 1 ronde 1





 ;;;;
Alea Rendement;     Bedrijf 1 Ronde 1;;;;;;;;;;;

Product;Categorie;Basis;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Asperges;Gewas hoofdproducten;3.21;3.21;3.21;3.21;3.21;3.21;3.21;3.21;3.21;3.21;3.21
Bio cons. aardappelen;Gewas hoofdproducten;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24
Bio pootaardappelen;Gewas hoofdproducten;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26
Bio bruine bonen;Gewas hoofdproducten;1.31;1.31;1.31;1.31;1.31;1.31;1.31;1.31;1.31;1.31;1.31
Bio stamslabonen;Gewas hoofdproducten;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95
Bio tuinbonen;Gewas hoofdproducten;0.49;0.49;0.49;0.49;0.49;0.49;0.49;0.49;0.49;0.49;0.49
Bio doperwten;Gewas hoofdproducten;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
Bio wintergerst;Gewas hoofdproducten;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31
Bio zomergerst;Gewas hoofdproducten;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23
Bio haver;Gewas hoofdproducten;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26
Bio wintertarwe;Gewas hoofdproducten;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
